date,issues
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
'2018-01-01 00:00:00',0
