label,time_to_close,time_to_first_response
"1 hour",5.0617533913748,21.992
"2 hours",1.8627252480259,5.024
"3 hours",1.3565499088884,3.466
"4 hours",1.2148208139299,2.216
"5 hours",0.95160963757846,1.754
"6 hours",0.56691637983397,1.36
"12 hours",1.7614901801984,5.424
"1 day",4.9605183235473,7.578
"2 days",5.8108928932982,5.264
"3 days",3.1787811297834,3.056
"4 days",2.8750759263009,2.208
"5 days",2.2271714922049,1.78
"6 days",2.3081595464669,1.836
"7 days",2.3486535735979,1.54
"14 days",9.0301680502126,5.83
"1 month",12.269690220692,6.866
"Over 1 month",42.215023284066,22.806
