date,closed
'2018-02-12',1
'2018-02-13',8
'2018-02-14',8
'2018-02-23',9
'2018-03-05',10
'2018-03-06',11
'2018-03-09',12
'2018-03-12',19
'2018-03-13',19
'2018-03-14',20
'2018-03-15',21
'2018-03-19',22
'2018-03-20',23
'2018-03-21',24
'2018-03-23',26
'2018-03-26',28
'2018-03-27',29
'2018-03-28',30
'2018-03-29',30
'2018-04-09',33
'2018-04-10',34
'2018-04-11',36
'2018-04-12',36
'2018-04-16',36
'2018-04-19',40
'2018-04-20',41
'2018-04-22',41
'2018-04-24',43
'2018-04-25',44
'2018-04-26',50
'2018-04-27',52
'2018-04-30',52
'2018-05-04',53
'2018-05-07',54
'2018-05-13',55
'2018-05-15',58
'2018-05-16',60
'2018-05-23',61
'2018-05-24',63
'2018-05-28',66
'2018-05-30',67
'2018-05-31',68
'2018-06-01',70
'2018-06-03',78
'2018-06-06',80
'2018-06-08',81
'2018-06-09',82
'2018-06-10',82
'2018-06-11',83
'2018-06-12',83
'2018-06-13',91
'2018-06-14',95
'2018-06-18',96
'2018-06-19',97
'2018-06-22',98
'2018-06-24',99
'2018-06-25',100
'2018-06-26',100
'2018-06-27',101
'2018-07-02',102
'2018-07-06',104
'2018-07-09',105
'2018-07-10',106
'2018-07-11',111
'2018-07-12',116
'2018-07-13',121
'2018-07-14',121
'2018-07-16',122
'2018-07-17',123
'2018-07-18',125
'2018-07-19',126
'2018-07-24',127
'2018-07-25',128
'2018-07-28',129
'2018-07-30',131
'2018-07-31',131
'2018-08-01',132
'2018-08-02',139
'2018-08-03',141
'2018-08-06',143
'2018-08-07',153
'2018-08-08',177
'2018-08-09',183
'2018-08-10',186
'2018-08-13',187
'2018-08-14',191
'2018-08-15',195
'2018-08-16',196
'2018-08-17',199
'2018-08-18',199
'2018-08-20',208
'2018-08-21',213
'2018-08-22',215
'2018-08-23',216
'2018-08-24',217
'2018-08-28',218
'2018-09-06',220
'2018-09-10',221
'2018-09-11',225
'2018-09-13',226
'2018-09-14',227
'2018-09-16',228
'2018-09-17',229
'2018-09-20',232
'2018-09-24',233
'2018-09-25',239
'2018-09-26',252
'2018-09-27',252
'2018-09-28',256
'2018-10-01',256
'2018-10-02',260
'2018-10-04',261
'2018-10-05',276
'2018-10-08',282
'2018-10-09',287
'2018-10-10',297
'2018-10-11',301
'2018-10-12',302
'2018-10-13',302
'2018-10-14',303
'2018-10-15',307
'2018-10-16',307
'2018-10-17',310
'2018-10-18',313
'2018-10-20',315
'2018-10-21',316
'2018-10-22',320
'2018-10-23',324
'2018-10-24',327
'2018-10-25',328
'2018-10-26',330
'2018-10-29',332
'2018-10-31',334
'2018-11-01',335
'2018-11-02',338
'2018-11-03',339
'2018-11-04',343
'2018-11-05',346
'2018-11-06',347
'2018-11-07',350
'2018-11-08',353
'2018-11-09',353
'2018-11-10',353
'2018-11-12',356
'2018-11-13',361
'2018-11-14',365
