date,open
'2018-02-12',0
'2018-02-13',0
'2018-02-14',0
'2018-02-23',0
'2018-03-05',0
'2018-03-06',0
'2018-03-09',0
'2018-03-12',0
'2018-03-13',0
'2018-03-14',0
'2018-03-15',0
'2018-03-19',0
'2018-03-20',0
'2018-03-21',0
'2018-03-23',0
'2018-03-26',0
'2018-03-27',0
'2018-03-28',0
'2018-03-29',0
'2018-04-09',0
'2018-04-10',0
'2018-04-11',0
'2018-04-12',0
'2018-04-16',0
'2018-04-19',4
'2018-04-20',4
'2018-04-22',4
'2018-04-24',4
'2018-04-25',4
'2018-04-26',8
'2018-04-27',8
'2018-04-30',8
'2018-05-04',8
'2018-05-07',8
'2018-05-13',8
'2018-05-15',16
'2018-05-16',16
'2018-05-23',16
'2018-05-24',16
'2018-05-28',16
'2018-05-30',16
'2018-05-31',16
'2018-06-01',16
'2018-06-03',16
'2018-06-06',16
'2018-06-08',16
'2018-06-09',16
'2018-06-10',16
'2018-06-11',16
'2018-06-12',16
'2018-06-13',16
'2018-06-14',16
'2018-06-18',16
'2018-06-19',16
'2018-06-22',16
'2018-06-24',16
'2018-06-25',16
'2018-06-26',16
'2018-06-27',16
'2018-07-02',16
'2018-07-06',16
'2018-07-09',16
'2018-07-10',16
'2018-07-11',16
'2018-07-12',16
'2018-07-13',16
'2018-07-14',16
'2018-07-16',16
'2018-07-17',16
'2018-07-18',16
'2018-07-19',16
'2018-07-24',16
'2018-07-25',16
'2018-07-28',16
'2018-07-30',16
'2018-07-31',16
'2018-08-01',16
'2018-08-02',16
'2018-08-03',16
'2018-08-06',16
'2018-08-07',18
'2018-08-08',18
'2018-08-09',21
'2018-08-10',21
'2018-08-13',21
'2018-08-14',22
'2018-08-15',23
'2018-08-16',23
'2018-08-17',23
'2018-08-18',23
'2018-08-20',25
'2018-08-21',25
'2018-08-22',25
'2018-08-23',26
'2018-08-24',26
'2018-08-28',26
'2018-09-06',26
'2018-09-10',26
'2018-09-11',26
'2018-09-13',26
'2018-09-14',26
'2018-09-16',26
'2018-09-17',26
'2018-09-20',26
'2018-09-24',27
'2018-09-25',29
'2018-09-26',29
'2018-09-27',29
'2018-09-28',29
'2018-10-01',29
'2018-10-02',29
'2018-10-04',29
'2018-10-05',30
'2018-10-08',30
'2018-10-09',30
'2018-10-10',31
'2018-10-11',31
'2018-10-12',31
'2018-10-13',31
'2018-10-14',31
'2018-10-15',31
'2018-10-16',31
'2018-10-17',31
'2018-10-18',31
'2018-10-20',31
'2018-10-21',31
'2018-10-22',31
'2018-10-23',31
'2018-10-24',31
'2018-10-25',31
'2018-10-26',31
'2018-10-29',31
'2018-10-31',31
'2018-11-01',31
'2018-11-02',31
'2018-11-03',31
'2018-11-04',31
'2018-11-05',31
'2018-11-06',31
'2018-11-07',31
'2018-11-08',31
'2018-11-09',31
'2018-11-10',31
'2018-11-12',31
'2018-11-13',31
'2018-11-14',31
'2018-11-15',31
'2018-11-16',31
'2018-11-17',31
'2018-11-18',31
'2018-11-19',31
'2018-11-20',31
'2018-11-21',31
'2018-11-22',31
'2018-11-23',31
'2018-11-26',33
'2018-11-27',33
'2018-11-28',33
'2018-11-30',33
'2018-12-03',33
'2018-12-04',33
'2018-12-05',33
'2018-12-06',33
'2018-12-07',33
'2018-12-08',33
'2018-12-09',33
'2018-12-10',33
'2018-12-11',33
'2018-12-12',33
'2018-12-13',33
'2018-12-14',33
'2018-12-15',33
'2018-12-17',33
'2018-12-18',33
'2018-12-19',33
'2018-12-20',33
'2018-12-21',33
'2018-12-28',33
'2019-01-02',34
'2019-01-03',34
'2019-01-04',34
'2019-01-05',34
'2019-01-06',34
'2019-01-07',34
'2019-01-08',34
'2019-01-09',34
'2019-01-10',34
'2019-01-11',35
'2019-01-13',35
'2019-01-14',35
'2019-01-15',35
'2019-01-17',35
'2019-01-18',36
'2019-01-20',36
'2019-01-21',36
'2019-01-22',36
'2019-01-24',36
'2019-01-25',36
'2019-01-28',36
'2019-01-29',36
'2019-01-30',37
'2019-01-31',37
'2019-02-01',37
'2019-02-02',37
'2019-02-04',37
'2019-02-05',37
'2019-02-06',37
'2019-02-08',37
'2019-02-09',37
'2019-02-12',38
'2019-02-13',38
'2019-02-14',38
'2019-02-15',38
'2019-02-17',39
'2019-02-18',39
'2019-02-19',39
'2019-02-20',39
'2019-02-21',39
'2019-02-22',39
'2019-02-24',39
'2019-02-25',39
'2019-02-26',39
'2019-02-27',39
'2019-02-28',39
'2019-03-01',39
'2019-03-02',39
'2019-03-04',39
'2019-03-05',39
'2019-03-06',39
'2019-03-07',39
'2019-03-08',39
'2019-03-11',39
'2019-03-12',39
'2019-03-13',39
'2019-03-14',39
'2019-03-15',40
'2019-03-16',40
'2019-03-17',40
'2019-03-18',41
'2019-03-19',41
'2019-03-20',41
'2019-03-21',41
'2019-03-22',41
'2019-03-23',42
'2019-03-25',43
'2019-03-26',43
'2019-03-27',43
'2019-03-28',44
'2019-03-29',44
'2019-03-30',44
'2019-03-31',44
'2019-04-01',44
'2019-04-02',44
'2019-04-03',44
'2019-04-04',44
'2019-04-05',45
'2019-04-06',45
'2019-04-07',45
'2019-04-08',46
'2019-04-09',46
'2019-04-10',46
'2019-04-11',46
'2019-04-12',46
'2019-04-13',47
'2019-04-14',47
'2019-04-15',47
'2019-04-16',47
'2019-04-17',48
'2019-04-18',48
'2019-04-19',48
'2019-04-21',48
'2019-04-23',49
'2019-04-24',49
'2019-04-26',49
'2019-04-28',49
'2019-04-29',49
'2019-04-30',51
'2019-05-01',51
'2019-05-02',51
'2019-05-03',51
'2019-05-04',51
'2019-05-05',51
'2019-05-06',51
'2019-05-07',52
'2019-05-08',52
'2019-05-09',52
'2019-05-10',52
'2019-05-12',52
'2019-05-13',52
'2019-05-15',52
'2019-05-16',52
'2019-05-20',52
'2019-05-21',54
'2019-05-22',54
'2019-05-23',54
'2019-05-24',54
'2019-05-27',54
'2019-05-28',54
'2019-05-29',55
'2019-05-30',56
'2019-05-31',56
'2019-06-01',56
'2019-06-02',56
'2019-06-03',56
'2019-06-04',56
'2019-06-05',56
'2019-06-06',56
'2019-06-07',56
'2019-06-08',56
'2019-06-09',56
'2019-06-10',56
'2019-06-11',56
'2019-06-13',57
'2019-06-14',57
'2019-06-16',58
'2019-06-17',58
'2019-06-18',58
'2019-06-19',58
'2019-06-20',58
'2019-06-21',58
'2019-06-25',59
'2019-06-26',59
'2019-06-27',59
'2019-06-28',59
'2019-07-01',59
'2019-07-04',59
'2019-07-06',59
'2019-07-08',59
'2019-07-10',59
'2019-07-11',59
'2019-07-12',59
'2019-07-13',59
'2019-07-15',59
'2019-07-16',59
'2019-07-17',59
'2019-07-18',59
'2019-07-19',59
'2019-07-20',59
'2019-07-21',59
'2019-07-22',59
'2019-07-24',59
'2019-07-25',59
'2019-07-26',59
'2019-07-27',59
'2019-07-28',59
'2019-07-29',59
'2019-07-30',59
'2019-07-31',59
'2019-08-01',59
'2019-08-02',59
'2019-08-03',59
'2019-08-05',60
'2019-08-06',60
'2019-08-07',60
'2019-08-08',60
'2019-08-09',60
'2019-08-10',60
'2019-08-13',60
'2019-08-14',60
'2019-08-16',61
'2019-08-18',62
'2019-08-19',62
'2019-08-20',62
'2019-08-21',62
'2019-08-23',63
'2019-08-26',63
'2019-08-28',63
'2019-08-29',63
'2019-09-02',63
'2019-09-03',63
'2019-09-04',63
'2019-09-06',63
'2019-09-09',63
'2019-09-10',63
'2019-09-12',63
'2019-09-13',63
'2019-09-14',63
'2019-09-15',63
'2019-09-16',63
'2019-09-17',63
'2019-09-18',65
'2019-09-19',65
'2019-09-20',65
'2019-09-21',65
'2019-09-22',65
'2019-09-23',65
'2019-09-24',65
'2019-09-25',65
'2019-09-26',65
'2019-09-27',65
'2019-09-29',66
'2019-09-30',66
'2019-10-01',66
'2019-10-02',66
'2019-10-03',66
'2019-10-04',66
'2019-10-05',66
'2019-10-06',66
'2019-10-07',66
'2019-10-08',66
'2019-10-09',67
'2019-10-10',67
'2019-10-11',67
'2019-10-12',67
'2019-10-13',67
'2019-10-14',67
'2019-10-15',67
'2019-10-16',67
'2019-10-17',67
'2019-10-18',67
'2019-10-19',67
'2019-10-21',67
'2019-10-22',67
'2019-10-23',67
'2019-10-24',68
'2019-10-25',68
'2019-10-26',68
'2019-10-27',68
'2019-10-28',69
'2019-10-29',70
'2019-10-30',70
'2019-10-31',70
'2019-11-01',71
'2019-11-03',71
'2019-11-04',71
'2019-11-05',72
'2019-11-06',73
'2019-11-07',74
'2019-11-08',74
'2019-11-09',74
'2019-11-11',74
'2019-11-12',74
'2019-11-13',74
'2019-11-14',75
'2019-11-15',75
'2019-11-16',75
'2019-11-17',75
'2019-11-18',75
'2019-11-19',75
'2019-11-20',75
'2019-11-21',75
'2019-11-22',76
'2019-11-23',76
'2019-11-24',76
'2019-11-25',76
'2019-11-26',76
'2019-11-27',77
'2019-11-28',77
'2019-11-29',77
'2019-12-01',77
'2019-12-02',77
'2019-12-03',78
'2019-12-04',79
'2019-12-05',79
'2019-12-06',79
'2019-12-07',80
'2019-12-09',80
'2019-12-10',81
'2019-12-11',82
'2019-12-12',82
'2019-12-13',82
'2019-12-14',82
'2019-12-15',82
'2019-12-16',82
'2019-12-17',82
'2019-12-18',82
'2019-12-19',82
'2019-12-20',82
'2019-12-21',82
'2019-12-22',82
'2019-12-24',82
'2019-12-27',82
'2019-12-31',82
'2020-01-02',82
'2020-01-03',82
'2020-01-06',83
'2020-01-08',83
'2020-01-13',83
'2020-01-14',84
'2020-01-15',85
'2020-01-16',85
'2020-01-17',85
'2020-01-20',85
'2020-01-21',85
'2020-01-22',85
'2020-01-23',85
'2020-01-24',85
'2020-01-25',86
'2020-01-27',92
'2020-01-28',92
'2020-01-29',92
'2020-01-30',92
'2020-01-31',92
'2020-02-01',92
'2020-02-02',92
'2020-02-03',92
'2020-02-04',93
'2020-02-05',94
'2020-02-06',95
'2020-02-07',95
'2020-02-10',96
'2020-02-11',100
'2020-02-12',102
'2020-02-13',103
'2020-02-14',103
'2020-02-16',103
'2020-02-17',104
'2020-02-18',105
'2020-02-19',105
'2020-02-20',106
'2020-02-21',106
'2020-02-22',106
'2020-02-24',107
'2020-02-25',107
'2020-02-26',107
'2020-02-27',107
'2020-02-28',109
'2020-02-29',109
'2020-03-01',109
'2020-03-02',110
'2020-03-03',110
'2020-03-04',112
'2020-03-05',112
'2020-03-06',113
'2020-03-09',113
'2020-03-10',115
'2020-03-11',115
'2020-03-12',115
'2020-03-13',116
'2020-03-15',116
'2020-03-16',118
'2020-03-17',118
'2020-03-18',119
'2020-03-19',119
'2020-03-20',121
'2020-03-21',121
'2020-03-22',121
'2020-03-23',121
'2020-03-24',121
'2020-03-25',121
'2020-03-26',121
'2020-03-27',121
'2020-03-28',121
'2020-03-29',122
'2020-03-30',122
'2020-03-31',122
'2020-04-01',122
'2020-04-02',122
'2020-04-03',122
'2020-04-06',122
'2020-04-07',122
'2020-04-08',122
'2020-04-09',123
'2020-04-10',123
'2020-04-11',123
'2020-04-12',124
'2020-04-13',124
'2020-04-14',125
'2020-04-15',125
'2020-04-16',125
'2020-04-17',125
'2020-04-18',125
'2020-04-19',125
'2020-04-20',125
'2020-04-21',126
'2020-04-22',126
'2020-04-23',126
'2020-04-24',126
'2020-04-25',127
'2020-04-26',127
'2020-04-27',130
'2020-04-28',131
'2020-04-29',131
'2020-04-30',133
'2020-05-01',133
'2020-05-04',133
'2020-05-05',133
'2020-05-06',133
'2020-05-07',133
'2020-05-08',133
'2020-05-11',133
'2020-05-12',133
'2020-05-13',134
'2020-05-14',134
'2020-05-15',134
'2020-05-16',134
'2020-05-18',134
'2020-05-19',137
'2020-05-20',137
'2020-05-21',137
'2020-05-22',137
'2020-05-23',137
'2020-05-24',137
'2020-05-25',137
'2020-05-26',137
'2020-05-27',139
'2020-05-28',139
'2020-05-29',140
'2020-05-30',140
'2020-05-31',140
'2020-06-01',140
'2020-06-02',140
'2020-06-03',141
'2020-06-04',141
'2020-06-05',141
'2020-06-06',141
'2020-06-07',141
'2020-06-08',142
'2020-06-09',142
'2020-06-10',142
'2020-06-11',144
'2020-06-12',144
'2020-06-13',145
'2020-06-14',145
'2020-06-15',145
'2020-06-16',145
'2020-06-17',145
'2020-06-18',145
'2020-06-19',145
'2020-06-22',146
'2020-06-23',146
'2020-06-24',146
'2020-06-25',146
'2020-06-26',146
'2020-06-28',146
'2020-06-29',146
'2020-06-30',146
'2020-07-01',146
'2020-07-02',147
'2020-07-03',147
'2020-07-04',147
'2020-07-05',148
'2020-07-06',149
'2020-07-07',149
'2020-07-08',150
'2020-07-09',150
'2020-07-10',150
'2020-07-11',150
'2020-07-12',150
'2020-07-13',151
'2020-07-14',151
'2020-07-15',152
'2020-07-16',152
'2020-07-17',152
'2020-07-18',152
'2020-07-19',152
'2020-07-20',153
'2020-07-21',155
'2020-07-22',158
'2020-07-23',158
'2020-07-24',159
'2020-07-26',159
'2020-07-27',159
'2020-07-28',159
'2020-07-29',159
'2020-07-30',160
'2020-07-31',160
'2020-08-03',160
'2020-08-04',160
'2020-08-05',161
'2020-08-06',161
'2020-08-07',161
'2020-08-08',162
'2020-08-10',162
'2020-08-11',162
'2020-08-12',162
'2020-08-13',162
'2020-08-15',162
'2020-08-16',162
'2020-08-17',163
'2020-08-18',163
'2020-08-19',163
'2020-08-20',164
'2020-08-21',164
'2020-08-22',164
'2020-08-24',164
'2020-08-25',164
'2020-08-26',164
'2020-08-27',165
'2020-08-28',165
'2020-08-29',165
'2020-08-30',165
'2020-08-31',167
'2020-09-01',169
'2020-09-02',169
'2020-09-03',170
'2020-09-04',172
'2020-09-05',172
'2020-09-07',172
'2020-09-08',173
'2020-09-09',173
'2020-09-10',173
'2020-09-11',174
'2020-09-14',174
'2020-09-15',174
'2020-09-16',174
'2020-09-17',174
'2020-09-18',174
'2020-09-21',174
'2020-09-22',174
'2020-09-23',174
'2020-09-24',174
'2020-09-25',176
'2020-09-26',177
'2020-09-29',177
'2020-09-30',177
'2020-10-01',177
'2020-10-02',177
'2020-10-03',177
'2020-10-04',177
'2020-10-05',177
'2020-10-06',177
'2020-10-07',178
'2020-10-08',178
'2020-10-11',178
'2020-10-12',178
'2020-10-13',178
'2020-10-14',178
'2020-10-15',179
'2020-10-16',179
'2020-10-18',179
'2020-10-19',180
'2020-10-20',181
'2020-10-21',182
'2020-10-22',183
'2020-10-23',183
'2020-10-25',183
'2020-10-26',184
'2020-10-27',184
'2020-10-28',184
'2020-10-29',185
'2020-10-30',185
'2020-11-02',185
'2020-11-03',185
'2020-11-04',185
'2020-11-05',186
'2020-11-06',186
'2020-11-07',187
'2020-11-08',187
'2020-11-09',187
'2020-11-10',187
'2020-11-11',187
'2020-11-12',188
'2020-11-13',189
'2020-11-14',189
'2020-11-15',189
'2020-11-16',189
'2020-11-17',190
'2020-11-18',190
'2020-11-19',190
'2020-11-20',190
'2020-11-21',190
'2020-11-22',190
'2020-11-23',190
'2020-11-24',192
'2020-11-25',195
'2020-11-26',195
'2020-11-27',196
'2020-11-28',196
'2020-11-30',198
'2020-12-01',200
'2020-12-02',201
'2020-12-03',201
'2020-12-04',201
'2020-12-07',201
'2020-12-08',201
'2020-12-09',201
'2020-12-10',202
'2020-12-11',202
'2020-12-12',202
'2020-12-13',202
'2020-12-14',204
'2020-12-16',204
'2020-12-17',204
'2020-12-18',205
'2020-12-19',205
'2020-12-20',205
'2020-12-22',206
'2020-12-23',206
'2020-12-24',206
'2020-12-28',206
'2021-01-03',206
'2021-01-04',206
'2021-01-05',206
'2021-01-06',207
'2021-01-07',207
'2021-01-08',208
'2021-01-09',208
'2021-01-10',208
'2021-01-11',209
'2021-01-12',209
'2021-01-13',209
'2021-01-14',209
'2021-01-15',209
'2021-01-16',209
'2021-01-17',209
'2021-01-19',210
'2021-01-20',211
'2021-01-21',211
'2021-01-22',211
'2021-01-25',211
'2021-01-26',212
'2021-01-27',212
'2021-01-28',212
'2021-01-29',212
'2021-02-01',212
'2021-02-02',213
'2021-02-03',216
'2021-02-04',218
'2021-02-05',218
'2021-02-07',219
'2021-02-08',219
'2021-02-09',220
'2021-02-10',221
'2021-02-11',222
'2021-02-12',222
'2021-02-13',222
'2021-02-14',222
'2021-02-15',222
'2021-02-16',222
'2021-02-17',222
'2021-02-18',223
'2021-02-19',224
'2021-02-20',224
'2021-02-21',224
'2021-02-22',224
'2021-02-23',226
'2021-02-24',227
'2021-02-25',227
'2021-02-26',228
'2021-02-27',228
'2021-02-28',228
'2021-03-01',228
'2021-03-02',228
'2021-03-03',230
'2021-03-04',230
'2021-03-05',231
'2021-03-06',231
'2021-03-07',231
'2021-03-08',232
'2021-03-09',234
'2021-03-10',234
'2021-03-11',234
'2021-03-12',234
'2021-03-13',234
'2021-03-14',234
'2021-03-15',234
'2021-03-16',238
'2021-03-17',239
'2021-03-18',240
'2021-03-19',240
'2021-03-21',240
'2021-03-22',241
'2021-03-23',245
'2021-03-24',249
'2021-03-25',250
'2021-03-26',251
'2021-03-27',251
'2021-03-28',251
'2021-03-29',251
'2021-03-30',251
'2021-03-31',251
'2021-04-01',251
'2021-04-05',252
'2021-04-06',252
'2021-04-07',253
'2021-04-08',253
'2021-04-09',253
'2021-04-11',253
'2021-04-12',253
'2021-04-13',257
'2021-04-14',258
'2021-04-15',258
'2021-04-16',259
'2021-04-17',259
'2021-04-19',259
'2021-04-20',260
'2021-04-21',261
'2021-04-22',261
'2021-04-23',261
'2021-04-24',261
'2021-04-25',262
'2021-04-26',267
'2021-04-27',268
'2021-04-28',268
'2021-04-29',268
'2021-04-30',268
'2021-05-01',268
'2021-05-02',269
'2021-05-03',271
'2021-05-04',271
'2021-05-05',272
'2021-05-06',273
'2021-05-07',274
'2021-05-08',274
'2021-05-09',274
'2021-05-10',274
'2021-05-11',274
'2021-05-12',274
'2021-05-13',274
'2021-05-14',275
'2021-05-17',275
'2021-05-18',277
'2021-05-19',277
'2021-05-20',277
'2021-05-21',278
'2021-05-22',278
'2021-05-24',278
'2021-05-25',279
'2021-05-26',279
'2021-05-27',279
'2021-05-28',279
'2021-05-29',279
'2021-05-30',279
'2021-05-31',280
'2021-06-01',280
'2021-06-02',281
'2021-06-03',281
'2021-06-04',281
'2021-06-05',281
'2021-06-07',282
'2021-06-08',282
'2021-06-09',283
'2021-06-10',283
'2021-06-11',283
'2021-06-14',283
'2021-06-15',283
'2021-06-16',284
'2021-06-17',285
'2021-06-18',286
'2021-06-19',289
'2021-06-20',289
'2021-06-21',289
'2021-06-22',290
'2021-06-23',291
'2021-06-24',291
'2021-06-25',291
'2021-06-26',292
'2021-06-28',293
'2021-06-29',294
'2021-06-30',295
'2021-07-01',295
'2021-07-02',296
'2021-07-04',296
'2021-07-05',298
'2021-07-06',298
'2021-07-07',299
'2021-07-08',300
'2021-07-09',300
'2021-07-10',300
'2021-07-12',300
'2021-07-13',300
'2021-07-14',301
'2021-07-15',304
'2021-07-16',306
'2021-07-17',306
'2021-07-18',306
'2021-07-19',306
'2021-07-20',306
'2021-07-21',306
'2021-07-22',306
'2021-07-23',306
'2021-07-25',306
'2021-07-26',307
'2021-07-27',307
'2021-07-28',308
'2021-07-29',309
'2021-07-30',309
'2021-08-02',309
'2021-08-03',309
'2021-08-04',311
'2021-08-05',312
'2021-08-06',313
'2021-08-07',313
'2021-08-09',313
'2021-08-10',313
'2021-08-12',314
'2021-08-13',314
'2021-08-15',314
'2021-08-16',314
'2021-08-17',314
'2021-08-18',314
'2021-08-19',317
'2021-08-20',319
'2021-08-21',319
'2021-08-23',319
'2021-08-24',319
'2021-08-25',319
'2021-08-26',320
'2021-08-27',322
'2021-08-29',322
'2021-08-30',322
'2021-08-31',322
'2021-09-01',322
'2021-09-02',323
'2021-09-03',324
'2021-09-05',324
'2021-09-06',324
'2021-09-07',325
'2021-09-08',325
'2021-09-09',326
'2021-09-10',326
'2021-09-13',326
'2021-09-14',326
'2021-09-15',327
'2021-09-16',328
'2021-09-17',329
'2021-09-18',329
'2021-09-20',330
'2021-09-21',330
'2021-09-22',334
'2021-09-23',334
'2021-09-24',335
'2021-09-25',335
'2021-09-26',335
'2021-09-27',336
'2021-09-28',336
'2021-09-29',336
'2021-09-30',336
'2021-10-01',337
'2021-10-04',337
'2021-10-05',337
'2021-10-06',338
'2021-10-07',338
'2021-10-08',339
'2021-10-11',342
'2021-10-12',342
'2021-10-13',348
'2021-10-14',350
'2021-10-15',350
'2021-10-18',350
'2021-10-19',351
'2021-10-20',351
'2021-10-21',351
'2021-10-22',352
'2021-10-23',352
'2021-10-25',352
'2021-10-26',353
'2021-10-27',363
'2021-10-28',366
'2021-10-29',367
'2021-10-30',367
'2021-10-31',367
'2021-11-01',368
'2021-11-02',369
'2021-11-03',369
'2021-11-04',369
'2021-11-05',370
'2021-11-06',370
'2021-11-07',370
'2021-11-08',370
'2021-11-09',370
'2021-11-10',373
'2021-11-11',373
'2021-11-12',373
'2021-11-13',373
'2021-11-14',373
'2021-11-15',375
'2021-11-16',375
'2021-11-17',376
'2021-11-18',376
'2021-11-19',378
'2021-11-20',378
'2021-11-21',378
'2021-11-22',378
'2021-11-23',379
'2021-11-24',379
'2021-11-25',379
'2021-11-26',379
'2021-11-27',379
'2021-11-28',379
'2021-11-29',379
'2021-11-30',379
'2021-12-01',379
'2021-12-02',379
'2021-12-03',379
'2021-12-04',379
'2021-12-06',379
'2021-12-07',381
'2021-12-08',382
'2021-12-09',383
'2021-12-10',384
'2021-12-11',384
'2021-12-13',384
'2021-12-14',386
'2021-12-15',386
'2021-12-16',386
'2021-12-17',386
'2021-12-18',386
'2021-12-19',386
'2021-12-20',386
'2021-12-21',386
'2021-12-22',386
'2021-12-23',387
'2021-12-29',387
'2021-12-30',388
'2022-01-01',390
'2022-01-03',390
'2022-01-04',391
'2022-01-05',391
'2022-01-06',393
'2022-01-07',393
'2022-01-09',393
'2022-01-10',393
'2022-01-11',393
'2022-01-12',393
'2022-01-13',393
