date,Closed / Merged,open
'2018-01-10',1,0
'2018-02-12',2,0
'2018-02-14',4,0
'2018-02-15',4,0
'2018-02-17',6,0
'2018-02-18',9,0
'2018-02-25',9,0
'2018-02-27',14,0
'2018-02-28',20,0
'2018-03-01',21,0
'2018-03-02',21,0
'2018-03-06',22,0
'2018-03-09',30,0
'2018-03-10',30,0
'2018-03-11',31,0
'2018-03-12',35,0
'2018-03-13',37,0
'2018-03-14',41,0
'2018-03-15',45,0
'2018-03-16',46,0
'2018-03-19',47,0
'2018-03-20',50,0
'2018-03-23',52,0
'2018-03-24',54,0
'2018-03-26',56,0
'2018-03-27',60,0
'2018-03-28',63,0
'2018-03-29',67,0
'2018-04-04',72,0
'2018-04-05',74,0
'2018-04-06',76,0
'2018-04-09',78,0
'2018-04-10',80,0
'2018-04-11',81,0
'2018-04-12',86,0
'2018-04-13',90,0
'2018-04-14',93,0
'2018-04-15',93,0
'2018-04-16',98,0
'2018-04-17',101,0
'2018-04-18',104,0
'2018-04-19',106,0
'2018-04-20',108,0
'2018-04-23',109,0
'2018-04-24',111,0
'2018-04-25',113,0
'2018-05-04',115,0
'2018-05-05',116,0
'2018-05-06',117,0
'2018-05-07',123,0
'2018-05-08',123,0
'2018-05-09',124,0
'2018-05-16',128,0
'2018-05-17',129,0
'2018-05-20',130,0
'2018-05-22',131,0
'2018-05-23',132,0
'2018-05-25',133,0
'2018-05-27',134,0
'2018-05-28',136,0
'2018-05-29',138,0
'2018-05-30',140,0
'2018-06-03',144,0
'2018-06-07',146,0
'2018-06-08',147,0
'2018-06-09',148,0
'2018-06-10',150,0
'2018-06-11',154,0
'2018-06-12',164,0
'2018-06-13',166,0
'2018-06-14',170,0
'2018-06-15',172,0
'2018-06-18',174,0
'2018-06-20',175,0
'2018-07-01',176,0
'2018-07-02',177,0
'2018-07-04',180,0
'2018-07-06',181,0
'2018-07-11',187,0
'2018-07-12',191,0
'2018-07-13',195,0
'2018-07-16',199,0
'2018-07-17',203,0
'2018-07-18',206,0
'2018-07-31',207,0
'2018-08-02',210,0
'2018-08-03',213,0
'2018-08-06',225,0
'2018-08-07',238,0
'2018-08-08',252,0
'2018-08-09',281,1
'2018-08-10',296,1
'2018-08-11',297,1
'2018-08-12',299,1
'2018-08-13',300,1
'2018-08-14',314,1
'2018-08-15',323,1
'2018-08-16',329,1
'2018-08-17',331,1
'2018-08-18',332,1
'2018-08-20',342,1
'2018-08-21',345,1
'2018-08-22',349,1
'2018-08-27',349,1
'2018-08-31',350,1
'2018-09-05',352,1
