date,open
'2018-01-10',0
'2018-02-12',0
'2018-02-14',0
'2018-02-15',0
'2018-02-17',0
'2018-02-18',0
'2018-02-25',0
'2018-02-27',0
'2018-02-28',0
'2018-03-01',0
'2018-03-02',0
'2018-03-06',0
'2018-03-09',0
'2018-03-10',0
'2018-03-11',0
'2018-03-12',0
'2018-03-13',0
'2018-03-14',0
'2018-03-15',0
'2018-03-16',0
'2018-03-19',0
'2018-03-20',0
'2018-03-23',0
'2018-03-24',0
'2018-03-26',0
'2018-03-27',0
'2018-03-28',0
'2018-03-29',0
'2018-04-04',0
'2018-04-05',0
'2018-04-06',0
'2018-04-09',0
'2018-04-10',0
'2018-04-11',0
'2018-04-12',0
'2018-04-13',0
'2018-04-14',0
'2018-04-15',0
'2018-04-16',0
'2018-04-17',0
'2018-04-18',0
'2018-04-19',0
'2018-04-20',0
'2018-04-23',0
'2018-04-24',0
'2018-04-25',0
'2018-05-04',0
'2018-05-05',0
'2018-05-06',0
'2018-05-07',0
'2018-05-08',0
'2018-05-09',0
'2018-05-16',0
'2018-05-17',0
'2018-05-20',0
'2018-05-22',0
'2018-05-23',0
'2018-05-25',0
'2018-05-27',0
'2018-05-28',0
'2018-05-29',0
'2018-05-30',0
'2018-06-03',0
'2018-06-07',0
'2018-06-08',0
'2018-06-09',0
'2018-06-10',0
'2018-06-11',0
'2018-06-12',0
'2018-06-13',0
'2018-06-14',0
'2018-06-15',0
'2018-06-18',0
'2018-06-20',0
'2018-07-01',0
'2018-07-02',0
'2018-07-04',0
'2018-07-06',0
'2018-07-11',0
'2018-07-12',0
'2018-07-13',0
'2018-07-16',0
'2018-07-17',0
'2018-07-18',0
'2018-07-31',0
'2018-08-02',0
'2018-08-03',0
'2018-08-06',0
'2018-08-07',0
'2018-08-08',0
'2018-08-09',1
'2018-08-10',1
'2018-08-11',1
'2018-08-12',1
'2018-08-13',1
'2018-08-14',1
'2018-08-15',1
'2018-08-16',1
'2018-08-17',1
'2018-08-18',1
'2018-08-20',1
'2018-08-21',1
'2018-08-22',1
'2018-08-27',1
'2018-08-31',1
'2018-09-05',1
'2018-09-06',1
'2018-09-07',1
'2018-09-08',1
'2018-09-09',1
'2018-09-11',1
'2018-09-12',1
'2018-09-17',1
'2018-09-18',1
'2018-09-19',1
'2018-09-20',1
'2018-09-21',1
'2018-09-24',1
'2018-09-25',1
'2018-09-26',1
'2018-09-28',1
'2018-10-01',1
'2018-10-02',1
'2018-10-03',1
'2018-10-04',1
'2018-10-05',1
'2018-10-08',1
'2018-10-09',1
'2018-10-10',1
'2018-10-11',1
'2018-10-12',1
'2018-10-13',1
'2018-10-14',1
'2018-10-15',1
'2018-10-16',1
'2018-10-17',1
'2018-10-18',1
'2018-10-19',1
'2018-10-20',1
'2018-10-21',1
'2018-10-23',1
'2018-10-24',1
'2018-10-25',1
'2018-10-26',1
'2018-10-27',1
'2018-11-01',1
'2018-11-02',1
'2018-11-03',1
'2018-11-04',1
'2018-11-05',1
'2018-11-06',1
'2018-11-07',1
'2018-11-08',1
'2018-11-11',1
'2018-11-12',1
'2018-11-13',1
'2018-11-15',1
'2018-11-16',1
'2018-11-17',1
'2018-11-18',1
'2018-11-19',1
'2018-11-20',1
'2018-11-21',1
'2018-11-22',1
'2018-11-23',2
'2018-11-24',2
'2018-11-25',2
'2018-11-26',2
'2018-11-27',2
'2018-11-28',2
'2018-11-29',2
'2018-11-30',2
'2018-12-01',2
'2018-12-03',2
'2018-12-04',2
'2018-12-05',2
'2018-12-06',2
'2018-12-07',2
'2018-12-08',2
'2018-12-09',2
'2018-12-10',2
'2018-12-11',2
'2018-12-12',2
'2018-12-13',2
'2018-12-15',2
'2018-12-17',2
'2018-12-18',2
'2018-12-19',2
'2018-12-21',2
'2018-12-22',2
'2018-12-23',2
'2018-12-25',2
'2018-12-26',2
'2018-12-28',2
'2018-12-30',2
'2019-01-02',2
'2019-01-03',2
'2019-01-04',2
'2019-01-05',2
'2019-01-07',2
'2019-01-08',2
'2019-01-09',2
'2019-01-10',2
'2019-01-11',2
'2019-01-12',2
'2019-01-13',2
'2019-01-14',2
'2019-01-15',2
'2019-01-16',2
'2019-01-17',2
'2019-01-18',2
'2019-01-19',2
'2019-01-20',2
'2019-01-21',2
'2019-01-22',2
'2019-01-23',3
'2019-01-24',3
'2019-01-25',3
'2019-01-26',3
'2019-01-27',3
'2019-01-28',3
'2019-01-29',3
'2019-01-30',3
'2019-01-31',3
'2019-02-01',3
'2019-02-02',3
'2019-02-04',3
'2019-02-05',3
'2019-02-06',3
'2019-02-07',3
'2019-02-08',3
'2019-02-09',3
'2019-02-10',3
'2019-02-11',3
'2019-02-13',3
'2019-02-14',3
'2019-02-15',3
'2019-02-16',3
'2019-02-17',3
'2019-02-18',3
'2019-02-19',3
'2019-02-20',3
'2019-02-21',3
'2019-02-22',3
'2019-02-25',3
'2019-02-26',3
'2019-02-27',3
'2019-02-28',3
'2019-03-01',3
'2019-03-02',3
'2019-03-04',3
'2019-03-05',3
'2019-03-06',3
'2019-03-07',3
'2019-03-08',3
'2019-03-11',3
'2019-03-12',3
'2019-03-13',3
'2019-03-14',3
'2019-03-15',3
'2019-03-16',3
'2019-03-17',3
'2019-03-18',3
'2019-03-19',3
'2019-03-20',3
'2019-03-21',3
'2019-03-22',3
'2019-03-23',3
'2019-03-24',3
'2019-03-25',3
'2019-03-26',3
'2019-03-27',3
'2019-03-29',3
'2019-03-30',3
'2019-03-31',3
'2019-04-01',3
'2019-04-02',3
'2019-04-03',3
'2019-04-04',3
'2019-04-05',3
'2019-04-06',3
'2019-04-07',3
'2019-04-08',3
'2019-04-09',3
'2019-04-10',3
'2019-04-11',3
